,title,authors,blurb,citations,citation_rate,year,link
25,Detection of duplicate defect reports using natural language processing,"['P Runeson', 'M Alexandersson']","Defect reports are generated from various testing and development activities in software engineering. Sometimes two reports are submitted that describe the same problem, leading to duplicate reports. These reports are mostly written in structured natural language, and as ",548,39.142857142857146,2007,https://ieeexplore.ieee.org/abstract/document/4222611/
26,Automated encoding of clinical documents based on natural language processing,"['C Friedman', 'L Shagina', 'Y Lussier']",Objective: The aim of this study was to develop a method based on natural language processing (NLP) that automatically maps an entire clinical document to codes with modifiers and to quantitatively evaluate the method. Methods: An existing NLP system ,547,32.1764705882353,2004,https://academic.oup.com/jamia/article-abstract/11/5/392/820006
27,Evaluating natural language processing systems: An analysis and review,"['KS Jones', 'JR Galliers']","This comprehensive state-of-the-art book is the first devoted to the important and timely issue of evaluating NLP systems. It addresses the whole area of NLP system evaluation, including aims and scope, problems and methodology. The authors provide a wide-ranging ",543,20.884615384615383,1995,https://books.google.com/books?hl=en&lr=&id=8xPCC7H9c9oC&oi=fnd&pg=PR11&dq=%22natural+language+processing%22&ots=o7kcj5r-6-&sig=VwogydMrs6EM-8LyzFqG_xqzVHs
28,Natural language processing system for semantic vector representation which accounts for lexical ambiguity,"['ED Liddy', 'W Paik', 'ES Yu']","A natural language processing system uses unformatted naturally occurring text and generates a subject vector representation of the text, which may be an entire document or a part thereof such as its title, a paragraph, clause, or a sentence therein. The subject codes ",541,24.59090909090909,1999,https://patents.google.com/patent/US5873056A/en
29,Text processing with gate,"['H Cunningham', 'D Maynard', 'K Bontcheva']"," It is more than 15 years old and is in active use for all types of computational tasks
involving language (frequently called natural language processing, text analytics, or
text mining). GATE excels at text analysis of all shapes and sizes  
",538,53.8,2011,https://dl.acm.org/citation.cfm?id=2018860
30,Advances in natural language processing,"['J Hirschberg', 'CD Manning']","Natural language processing employs computational techniques for the purpose of learning, understanding, and producing human language content. Early computational approaches to language research focused on automating the analysis of the linguistic structure of language ",535,89.16666666666667,2015,https://science.sciencemag.org/content/349/6245/261.abstract
31,Ontology-based parser for natural language processing,"['JE Busch', 'AD Lin', 'PJ Graydon', 'M Caudill']","An ontology-based parser incorporates both a system and method for converting natural-language text into predicate-argument format that can be easily used by a variety of applications, including search engines, summarization applications, categorization ",516,34.4,2006,https://patents.google.com/patent/US7027974B1/en
32,Neural network methods for natural language processing,['Y Goldberg'],Neural networks are a family of powerful machine learning models. This book focuses on the application of neural network models to natural language data. The first half of the book (Parts I and II) covers the basics of supervised machine learning and feed-forward neural ,509,127.25,2017,https://www.morganclaypool.com/doi/abs/10.2200/S00762ED1V01Y201703HLT037
33,The interaction of domain knowledge and linguistic structure in natural language processing: interpreting hypernymic propositions in biomedical text,"['TC Rindflesch', 'M Fiszman']","Abstract Interpretation of semantic propositions in free-text documents such as MEDLINE citations would provide valuable support for biomedical applications, and several approaches to semantic interpretation are being pursued in the biomedical informatics ",505,28.055555555555557,2003,https://www.sciencedirect.com/science/article/pii/S1532046403001175
34,Natural language processing: a Paninian perspective,"['V Chaitanya', 'R Sangal', 'A Bharati']","T his boo k presents a Paninian perspective towards natural language processing (Nlp). It has the following three objectives: 1. T o introduce the reader to Nlp, 2. T o introduce the reader to Paninian Grammar framewor k applied to the processing of modern Indian ",505,20.2,1996,https://www.academia.edu/download/51355272/Natural_Language_Processing_A_Paninian_P20170114-21809-ze6uvd.pdf
35,Object interactive user interface using speech recognition and natural language processing,['D Weber'],"A system and method for interacting with objects, via a computer using utterances, speech processing and natural language processing. A Data Definition File relates networked objects and a speech processor. The Data Definition File encompasses a memory structure ",500,26.31578947368421,2002,https://patents.google.com/patent/US6434524B1/en
36,What can natural language processing do for clinical decision support?,['D Demner'],Computerized clinical decision support (CDS) aims to aid decision making of health care providers and the public by providing easily accessible health-related information at the point and time it is needed. natural language processing (NLP) is instrumental in using free ,497,41.416666666666664,2009,https://www.sciencedirect.com/science/article/pii/S1532046409001087
37,Handbook of natural language processing,"['N Indurkhya', 'FJ Damerau']","The Handbook of Natural Language Processing, Second Edition presents practical tools and techniques for implementing natural language processing in computer systems. Along with removing outdated material, this edition updates every chapter and expands the content ",495,45.0,2010,https://books.google.com/books?hl=en&lr=&id=nK-QYHZ0-_gC&oi=fnd&pg=PP1&dq=%22natural+language+processing%22&ots=RBtKb4OJ-c&sig=RgVhn7dedll9NrcYMkknkEb8JMg
38,TEAM: an experiment in the design of transportable natural-language interfaces,"['BJ Grosz', 'DE Appelt', 'PA Martin', 'FCN Pereira']"," interface system. TEAM was construc- ted to test the feasibility of building a
natural-language system that could be adapted to interface with new databases by
users who are not experts in natural-language processing. An overview  
",470,13.823529411764707,1987,https://www.sciencedirect.com/science/article/pii/0004370287900117
39,Finite-state language processing,"['E Roche', 'Y Schabes']"," This book describes the fundamental properties of finite-state devices and illustrates their uses.
Many of the contributors pioneered the use of finite-state automata for dif- ferent aspects of natural
language processing  paper) 1. Natural language processing (Computer science)  
",464,19.333333333333332,1997,https://books.google.com/books?hl=en&lr=&id=q4URKd5XKo0C&oi=fnd&pg=PR11&dq=%22natural+language+processing%22&ots=7yAuXnGpm_&sig=UCh26JxsaO4a7Rl6uw4lVEuOgtw
40,Natural language processing,['ED Liddy'],"Description/Abstract Natural Language Processing (NLP) is the computerized approach to analyzing text that is based on both a set of theories and a set of technologies. And, being a very active area of research and development, there is not a single agreed-upon definition ",455,22.75,2001,http://surface.syr.edu/cgi/viewcontent.cgi?article=1019&context=cnlp
41,Wikipedia-based semantic interpretation for natural language processing,"['E Gabrilovich', 'S Markovitch']","Adequate representation of natural language semantics requires access to vast amounts of common sense and domain-specific world knowledge. Prior work in the field was based on purely statistical techniques that did not make use of background knowledge, on limited ",450,37.5,2009,https://www.jair.org/index.php/jair/article/view/10595
42,Network interactive user interface using speech recognition and natural language processing,['D Weber'],"A system and method to interact with networked objects, via a computer using utterances, speech processing and natural language processing. A Data Definition File relates networked objects and a speech processor. The Data Definition File encompasses a ",441,24.5,2003,https://patents.google.com/patent/US6532444B1/en
43,FASTUS: A cascaded finite-state transducer for extracting information from natural-language text,"['JR Hobbs', 'D Appelt', 'J Bear', 'D Israel']"," system design. We also discuss the important distinction between information extraction
systems and text understanding systems. Section 3 is a review of previous finite-state
approaches to natural language processing. Section 4  
",439,18.291666666666668,1997,https://books.google.com/books?hl=en&lr=&id=q4URKd5XKo0C&oi=fnd&pg=PA383&dq=%22natural+language+processing%22&ots=7yAuXnGte_&sig=hHpEPSRWQgFGJCunuwhM9fAKFEU
44,"Subsymbolic natural language processing: An integrated model of scripts, lexicon, and memory","['R Miikkulainen', 'J Elman']","Risto Miikkulainen draws on recent connectionist work in language comprehension tocreate a model that can understand natural language. Using the DISCERN system as an example, hedescribes a general approach to building high-level cognitive models from distributed ",439,15.678571428571429,1993,https://books.google.com/books?hl=en&lr=&id=yqp319ljJ2MC&oi=fnd&pg=PR4&dq=%22natural+language+processing%22&ots=hHwKNXXzD1&sig=vZHZ7FzTVp_nR7gxiHjQ73kUZhg
45,Annotating the World Wide Web using Natural Language.,['B Katz']," The START Server is built on two foundations: the sentence-level Natural Language processing
capabil- ity provided by the START Natural Language system (Katz 1990]) and the idea of natural
language annota- tions for multi-media information segments  
",438,18.25,1997,https://groups.csail.mit.edu/infolab/publications/Katz-RIAO97.pdf
46,Natural language processing for information retrieval,"['DD Lewis', 'KS Jones']","Moreover, even if the user does have questions in mind, the aim is to retrieve overall information so these questions, as well as other questions prompted by reading the documents, are answered. This means that DR must find relationships between the ",420,16.8,1996,https://dl.acm.org/doi/pdf/10.1145/234173.234210
47,Spotting and discovering terms through natural language processing,['C Jacquemin'],Christian Jacquemin shows how the power of natural language processing (NLP) can be used to advance text indexing and information retrieval (IR). In this book Christian Jacquemin shows how the power of natural language processing (NLP) can be used to ,419,20.95,2001,https://books.google.com/books?hl=en&lr=&id=W6AB06SBAGMC&oi=fnd&pg=PA1&dq=%22natural+language+processing%22&ots=EOLsloMR0s&sig=qoCNYZxyaICXq-TchUqDNmvHOug
48,Unlocking clinical data from narrative reports: a study of natural language processing,"['G Hripcsak', 'C Friedman', 'PO Alderson']",Objective: To evaluate the automated detection of clinical conditions described in narrative reports. Design: Automated methods and human experts detected the presence or absence of six clinical conditions in 200 admission chest radiograph reports. Study Subjects: A ,410,15.76923076923077,1995,https://www.acpjournals.org/doi/abs/10.7326/0003-4819-122-9-199505010-00007
49,System and method for natural language processing of query answers,['IM Bennett'],"Candidate answers responsive to a user query are analyzed using a natural language engine to determine appropriate answers from an electronic database. The system and methods are useful for Internet based search engines, as well as distributed speech ",402,36.54545454545455,2010,https://patents.google.com/patent/US7702508B2/en
50,Arabic natural language processing: Challenges and solutions,"['A Farghaly', 'K Shaalan']",The Arabic language presents researchers and developers of natural language processing (NLP) applications for Arabic text and speech with serious challenges. The purpose of this article is to describe some of these challenges and to present some solutions that would ,400,33.333333333333336,2009,https://dl.acm.org/doi/abs/10.1145/1644879.1644881
51,Active learning for natural language parsing and information extraction,"['CA Thompson', 'ME Califf', 'RJ Mooney']"," classi cation tasks. To reduce annotation e ort while maintaining accuracy, we ap-
ply active learning to two non-classi cation tasks in natural language processing:
semantic parsing and information extraction. We show that  
",397,18.045454545454547,1999,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.52.597&rep=rep1&type=pdf
52,System and method for selecting and presenting advertisements based on natural language processing of voice-based input,"['T Freeman', 'M Kennewick']","A system and method for selecting and presenting advertisements based on natural language processing of voice-based inputs is provided. A user utterance may be received at an input device, and a conversational, natural language processor may identify a request ",395,35.90909090909091,2010,https://patents.google.com/patent/US7818176B2/en
53,Readings in natural language processing,"['BJ Grosz', 'KS Jones', 'BL Webber']","The papers assembled fall naturally into six groups dealing respectively with parsing and grammars, semantic interpretation, discourse interpretation (covering, for example, anaphor resolution), language actions and the intentions underlying them, language generation, and ",394,11.257142857142858,1986,https://www.osti.gov/biblio/6537037
54,Comparative study of cnn and rnn for natural language processing,"['W Yin', 'K Kann', 'M Yu', 'H Schütze']","Deep neural networks (DNN) have revolutionized the field of natural language processing (NLP). Convolutional neural network (CNN) and recurrent neural network (RNN), the two main types of DNN architectures, are widely explored to handle various NLP tasks. CNN is ",393,98.25,2017,https://arxiv.org/abs/1702.01923
55,Natural language processing and text mining,"['A Kao', 'SR Poteet']","The topic this book addresses originated from a panel discussion at the 2004 ACM SIGKDD (Special Interest Group on Knowledge Discovery and Data Mining) Conference held in Seattle, Washington, USA. We the editors or-nized the panel to promote discussion on how ",392,28.0,2007,https://books.google.com/books?hl=en&lr=&id=CVtxFWbKT7wC&oi=fnd&pg=PA1&dq=%22natural+language+processing%22&ots=vMDXujNWpb&sig=ARwGzW-DSwEaeJqiZuCXtBqkuF0
56,Allennlp: A deep semantic natural language processing platform,"['M Gardner', 'J Grus', 'M Neumann', 'O Tafjord']","This paper describes AllenNLP, a platform for research on deep learning methods in natural language understanding. AllenNLP is designed to support researchers who want to build novel language understanding models quickly and easily. It is built on top of PyTorch ",391,130.33333333333334,2018,https://arxiv.org/abs/1803.07640
57,A survey on hate speech detection using natural language processing,"['A Schmidt', 'M Wiegand']","This paper presents a survey on hate speech detection. Given the steadily growing body of social media content, the amount of online hate speech is also increasing. Due to the massive scale of the web, methods that automatically detect hate speech are required. Our ",387,96.75,2017,https://www.aclweb.org/anthology/W17-1101.pdf
58,Interactive user interface using speech recognition and natural language processing,['D Weber'],"A system and method to interact with a computer using utterances, speech processing and natural language processing. The system comprises a speech processor to search a first grammar file for a matching phrase for the utterance, and to search a second grammar file ",386,20.31578947368421,2002,https://patents.google.com/patent/US6499013B1/en
59,System for processing textual inputs using natural language processing techniques,"['SH Corston', 'WB Dolan', 'LH Vanderwende']",A system filters documents in a document set retrieved from a document store in response to a query. The system obtains a first set of logical forms based on a selected one of the query and the documents in the document set. The system obtains a second set of logical forms ,383,23.9375,2005,https://patents.google.com/patent/US6901399B1/en
60,Chinese whispers-an efficient graph clustering algorithm and its application to natural language processing problems,['C Biemann'],"Abstract We introduce Chinese Whispers, a randomized graph-clustering algorithm, which is time-linear in the number of edges. After a detailed definition of the algorithm and a discussion of its strengths and weaknesses, the performance of Chinese Whispers is ",380,25.333333333333332,2006,https://www.aclweb.org/anthology/W06-3812.pdf
61,Natural language processing for Prolog programmers,"['MA Covington', 'BJ Grosz', 'FCN Pereira']","1.2 Language from a scientific viewpoint 2  1.4 Levels of linguistic analysis 5 1.4.1 
Phonology, 5 1.4.2 Morphology, 6 1.4.3 Syntax, 7 1.4.4 Semantics, 9 1.4.5 Pragmatics, 10  
2.2.1 Recipe for a template system, 16 2.2.2 Implementing simplification rules, 19 2.2.3 Implementing ",364,13.481481481481481,1994,http://www.academia.edu/download/45843519/84942029.pdf
62,Using natural-language processing to produce weather forecasts,"['E Goldberg', 'N Driedger', 'RI Kittredge']",Improved numerical weather prediction simulations have led weather services to examine how and where human forecasters add value to forecast production. The Forecast Production Assistant (FPA) was developed with that in mind. The authors discuss the ,364,13.481481481481481,1994,https://ieeexplore.ieee.org/abstract/document/294135/
63,"Extracting principal diagnosis, co-morbidity and smoking status for asthma research: evaluation of a natural language processing system","['QT Zeng', 'S Goryachev', 'S Weiss']","The text descriptions in electronic medical records are a rich source of information. We have developed a Health Information Text Extraction (HITEx) tool and used it to extract key findings for a research study on airways disease. The principal diagnosis, co-morbidity and ",363,24.2,2006,https://bmcmedinformdecismak.biomedcentral.com/articles/10.1186/1472-6947-6-30
64,Natural-language processing system,"['T Sukehiro', 'S Torigoe', 'Y Kawakita']","A natural-language processing system such as a machine-translation system employs a tree structure of increasingly specialized system dictionaries and attaches user dictionaries to individual system dictionaries in the tree, or helps users edit their user dictionaries by ",362,21.294117647058822,2004,https://patents.google.com/patent/US20040205671A1/en
65,Handbook of natural language processing,"['R Dale', 'H Moisl', 'H Somers']","Library of Congress Cataloging-in-Publication Data Handbook of natural language 
processing/edited by Robert Dale, Hermann Moisl, Harold Somers. p. cm. ISBN: 
0-8247-9000-6 (alk. paper) 1. Natural language processing (Computer ",352,16.761904761904763,2000,https://books.google.com/books?hl=en&lr=&id=VoOLvxyX0BUC&oi=fnd&pg=PR3&dq=%22natural+language+processing%22&ots=wvh2FK8Kn1&sig=YCyXbRxLaXT3usnd6zGmZWS2YyU
66,"Natural Language Processing to the Rescue? Extracting"" Situational Awareness"" Tweets During Mass Emergency.","['S Verma', 'S Vieweg', 'WJ Corvey', 'L Palen', 'JH Martin']","In times of mass emergency, vast amounts of data are generated via computer-mediated communication (CMC) that are difficult to manually cull and organize into a coherent picture. Yet valuable information is broadcast, and can provide useful insight into time-and safety ",339,33.9,2011,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.371.9621&rep=rep1&type=pdf
67,Automated identification of postoperative complications within an electronic medical record using natural language processing,"['HJ Murff', 'F FitzHenry', 'ME Matheny', 'N Gentry', 'KL Kotter']","Context Currently most automated methods to identify patient safety occurrences rely on administrative data codes; however, free-text searches of electronic medical records could represent an additional surveillance approach. Objective To evaluate a natural language  ",338,33.8,2011,https://jamanetwork.com/journals/jama/article-abstract/1108490
68,System and method for natural language processing of sentence based queries,['IM Bennett'],"Sentence based queries from a user are analyzed using a natural language engine to determine appropriate answers from an electronic database. The system and methods are useful for Internet based search engines, as well as distributed speech recognition systems ",328,27.333333333333332,2009,https://patents.google.com/patent/US7624007B2/en
69,System and method for selecting and presenting advertisements based on natural language processing of voice-based input,"['T Freeman', 'M Kennewick']","A system and method for selecting and presenting advertisements based on natural language processing of voice-based inputs is provided. A user utterance may be received at an input device, and a conversational, natural language processor may identify a request ",327,36.333333333333336,2012,https://patents.google.com/patent/US8145489B2/en
70,Automatically assigning medical codes using natural language processing,"['DT Heinze', 'ML Morsch']","A programmed implementation for automatically assigning medical codes (including diagnosis, procedure, and level of service—ie, evaluation and management (EM)—codes) to computer readable physician notes using natural language processing. A system allows ",323,20.1875,2005,https://patents.google.com/patent/US6915254B1/en
71,A simple introduction to maximum entropy models for natural language processing,['A Ratnaparkhi'],"Many problems in natural language processing can be viewed as linguistic classification problems, in which linguistic contexts are used to predict linguistic classes. Maximum entropy models offer a clean way to combine diverse pieces of contextual evidence in order ",317,13.208333333333334,1997,https://repository.upenn.edu/cgi/viewcontent.cgi?article=1083&context=ircs_reports
72,Human engineering fcr applied natural language processing,['GG Herdrix'],"Human engineeringfeaturesfo renhancingthe usabil ity of practical natural language systems al re described. Such featuresincludespelli ng correction, processing of incomplete (ell ipt ic-~ I) input?, jntfrrog-t ior of th p underlying language definition through English ",308,7.0,1977,https://www.ijcai.org/Proceedings/77-1/Papers/028.pdf
73,Team: A transportable natural language interface system,['B Grosz'],"A major benefit of using natural language to access the information in a database is that it shifts onto the system the burden of mediating between two views of the data: the way in which the data is stored (the"" database view""), and the way in which an end-user thinks ",300,7.894736842105263,1983,https://dash.harvard.edu/handle/1/2580269
74,Natural language processing of disfluent sentences,"['F Weng', 'Q Zhang']","An advanced model that includes new processes is provided for use as a component of an effective disfluency identifier. The disfluency identifier tags edited words in transcribed speech. A speech recognition unit in combination with a part-of-speech tagger, a disfluency ",294,29.4,2011,https://patents.google.com/patent/US7930168B2/en
75,Natural language processing with modular PDP networks and distributed lexicon,"['R Miikkulainen', 'MG Dyer']","An approach to connectionist natural language processing is proposed, which is based on hierarchically organized modular parallel distributed processing (PDP) networks and a central lexicon of distributed input/output representations. The modules communicate using ",291,9.7,1991,https://onlinelibrary.wiley.com/doi/abs/10.1207/s15516709cog1503_2
76,Learning natural language inference with LSTM,"['S Wang', 'J Jiang']"," Jing Jiang School of Information Systems Singapore Management University
jingjiang@smu.edu.sg Abstract Natural language inference (NLI) is a funda- mentally
important task in natural language processing that has many applications  
",290,48.333333333333336,2015,https://arxiv.org/abs/1512.08849
77,Systems for natural language processing of sentence based queries,['IM Bennett'],"Abstract Systems are disclosed for responding to text-based queries. The systems use natural language routines to identify word phrases present in a user query. The natural language routines may also consider the context of the user query, and may load one or ",289,26.272727272727273,2010,https://patents.google.com/patent/US20100005081A1/en
78,"Active computerized pharmacovigilance using natural language processing, statistics, and electronic health records: a feasibility study","['X Wang', 'G Hripcsak', 'M Markatou']","Objective: It is vital to detect the full safety profile of a drug throughout its market life. Current pharmacovigilance systems still have substantial limitations, however. The objective of our work is to demonstrate the feasibility of using natural language processing (NLP), the ",287,23.916666666666668,2009,https://academic.oup.com/jamia/article-abstract/16/3/328/857264
79,Natural language processing and the representation of clinical data,"['N Sager', 'M Lyman', 'C Bucknall']",Objective: Develop a representation of clinical observations and actions and a method of processing free-text patient documents to facilitate applications such as quality assurance. Design: The Linguistic String Project (LSP) system of New York University utilizes syntactic ,282,10.444444444444445,1994,https://academic.oup.com/jamia/article-abstract/1/2/142/702918
80,A general organization of knowledge for natural language processing: The penman upper model,"['JA Bateman', 'RT Kasper', 'JD Moore', 'RA Whitney']","Л general, reusable computational resource has been developed within the penman text generation project for organizing domain knowledge appropriately for linguistic realization. This resource, called the upper model, provides a domain'and task-independent ",282,9.096774193548388,1990,http://www.fb10.uni-bremen.de/anglistik/langpro/kpml/um89/UM89-penman.pdf
81,The role of natural language in a multimodal interface,['PR Cohen']," On the other hand, these are precisely strengths of natural language. This pa- per presents
an interface that blends natural language processing and direct manipulation technologies,
using each for their characteristic advantages. Specifically, the  
",278,9.586206896551724,1992,https://dl.acm.org/doi/abs/10.1145/142621.142641
